city,cloudiness,humidity,latitude,longitude,temp,wind speeds
yumen,88,45,40.29,97.04,65.17,14.79
charcas,24,78,23.13,-101.11,70.75,3.6
waingapu,92,82,-9.65,120.26,77.41,10.54
bambous virieux,20,88,-20.34,57.76,66.2,1.12
acapulco,75,70,16.86,-99.88,86.0,8.05
banjar,64,96,-7.37,108.54,71.47,2.71
bellmead,90,78,31.59,-97.11,80.28,17.22
lagunas,0,73,-5.23,-75.68,75.61,2.71
kudamatsu,90,94,34.04,131.89,70.34,4.7
saurimo,8,74,-9.66,20.4,56.98,2.48
takoradi,88,100,4.89,-1.75,75.43,10.54
kodiak,1,78,39.95,-94.76,78.8,9.17
srednekolymsk,0,50,67.46,153.71,54.73,3.94
brandon,90,82,43.59,-96.57,67.1,5.82
beian,75,87,63.66,9.57,48.2,29.97
san juan,40,83,18.47,-66.12,80.06,11.41
portland,40,22,45.52,-122.67,88.32,8.05
ribera,68,88,37.5,13.27,60.31,2.15
san quintin,75,94,17.54,120.52,78.8,3.49
hudesti,0,77,48.15,26.5,69.8,10.29
sisimiut,88,100,66.94,-53.67,32.05,1.7
yenotayevka,0,71,47.24,47.04,64.0,2.48
buraydah,0,23,26.33,43.97,93.2,10.29
qiongshan,0,88,20.01,110.35,78.8,4.47
mazamari,8,87,-11.33,-74.53,63.28,1.7
varhaug,40,81,58.61,5.65,51.8,4.7
amberley,92,100,-43.15,172.73,46.4,6.93
kununurra,0,48,-15.77,128.74,66.2,4.7
vestmanna,68,81,62.16,-7.17,46.4,19.46
cap malheureux,20,88,-19.98,57.61,66.2,1.12
tocopilla,20,100,-22.09,-70.2,58.87,5.06
lovozero,76,76,68.01,35.02,55.0,3.71
hornepayne,12,46,49.22,-84.78,72.55,6.4
saint-pierre,40,93,48.95,4.24,59.81,5.82
finnsnes,92,93,69.23,17.98,48.34,4.7
sao joao da barra,0,88,-21.64,-41.05,66.2,2.24
stabat,56,92,3.76,98.46,73.27,3.15
torbay,90,93,47.66,-52.73,55.4,21.92
saint george,20,77,39.45,22.34,68.0,4.7
hasaki,75,100,35.73,140.83,68.0,10.29
te anau,80,100,-45.41,167.72,39.88,3.38
prince rupert,1,68,54.32,-130.32,69.8,4.7
daru,88,98,7.99,-10.85,72.64,6.06
nabire,0,85,-3.36,135.5,75.61,2.04
sassandra,92,100,4.95,-6.09,74.98,8.63
isangel,0,100,-19.55,169.27,76.24,10.76
canutama,0,72,-6.53,-64.38,76.15,3.71
altea,0,73,38.6,-0.05,69.8,2.24
port augusta,88,75,-32.49,137.76,44.6,6.93
kholodnyy,56,64,62.72,147.95,59.14,3.38
cabedelo,20,88,-6.97,-34.84,73.4,10.29
katherine,0,48,-14.47,132.26,60.8,8.05
kenai,90,76,60.55,-151.26,54.52,6.93
xining,56,87,36.62,101.77,52.39,3.6
ponta do sol,0,79,-20.63,-46.0,60.49,6.62
luanda,20,78,-8.83,13.24,73.4,3.36
vanimo,0,100,-2.67,141.3,83.98,9.19
ayan,76,97,40.67,33.6,53.56,2.15
luderitz,0,91,-26.65,15.16,54.64,15.12
aklavik,90,81,68.22,-135.01,45.77,12.75
aykhal,0,67,65.95,111.51,55.54,6.06
esmeraldas,0,82,-19.76,-44.31,62.01,10.29
lagoa,0,60,37.14,-8.45,73.4,4.7
angoche,0,100,-16.23,39.91,76.69,8.52
flin flon,75,37,54.77,-101.88,82.4,11.41
karratha,0,59,-20.74,116.85,62.29,16.24
biak,48,100,-0.91,122.88,77.77,4.05
trelew,0,50,-43.25,-65.31,37.99,8.41
altamont,1,39,49.4,-98.5,81.27,6.93
sompeta,0,89,18.93,84.6,76.96,5.17
salalah,75,88,17.01,54.1,82.4,6.93
kurilsk,64,93,45.23,147.88,51.85,9.75
provideniya,0,50,64.42,-173.23,55.4,6.71
savonlinna,0,81,61.87,28.88,51.8,5.82
mataram,48,88,-5.32,105.06,75.16,2.59
maceio,40,88,-9.67,-35.74,73.4,10.29
erenhot,0,42,43.65,111.97,68.05,5.39
saint-georges,0,55,46.12,-70.67,60.4,6.17
hobyo,8,84,5.35,48.53,74.98,19.26
sarakhs,92,28,36.54,61.16,80.6,11.41
deputatskiy,0,29,69.3,139.9,68.77,7.96
sulangan,44,100,11.14,123.72,83.53,3.71
axim,76,100,4.87,-2.24,76.51,14.12
zaraza,80,82,9.35,-65.33,76.69,4.94
beloha,20,88,-25.17,45.06,57.88,2.59
thongwa,75,100,16.76,96.52,77.0,2.24
norman wells,75,26,65.28,-126.83,84.2,9.17
aswan,0,18,24.09,32.9,91.4,9.17
osoyoos,1,25,49.03,-119.47,87.8,6.93
guaymas,5,38,27.92,-110.9,91.4,11.41
aleksandrov gay,0,67,50.14,48.57,59.95,2.93
vila franca do campo,20,77,37.72,-25.43,66.2,3.36
berlevag,36,98,70.86,29.09,46.45,3.04
bahia blanca,0,73,-38.72,-62.27,53.11,15.57
copiapo,0,76,-27.37,-70.33,53.6,6.93
manggar,48,88,-2.88,108.27,81.91,8.52
mweka,76,70,-4.85,21.56,76.96,2.37
gambat,0,58,27.35,68.52,78.04,6.06
chunoyar,0,68,57.45,97.32,69.31,3.38
bandarbeyla,12,85,9.49,50.81,76.78,29.33
yar-sale,92,83,66.83,70.83,47.53,13.22
ciudad dario,75,78,12.73,-86.12,82.4,11.41
petropavlovsk-kamchatskiy,12,55,53.05,158.65,62.6,4.47
bambanglipuro,0,90,-7.95,110.28,73.63,2.37
bathsheba,40,74,13.22,-59.52,80.6,19.46
juneau,75,47,58.3,-134.42,77.79,10.29
marzuq,12,35,14.4,46.47,61.3,2.48
narasannapeta,0,93,18.42,84.04,76.06,3.6
sinnamary,92,97,5.38,-52.96,80.56,11.21
cascais,0,77,38.7,-9.42,68.88,4.7
beyneu,0,44,45.32,55.19,60.22,2.71
killybegs,92,94,54.63,-8.45,58.6,20.15
tongliao,0,71,43.61,122.27,65.53,11.54
verkhnevilyuysk,92,100,63.45,120.31,54.73,3.38
boa vista,88,98,2.82,-60.67,75.16,3.04
cairns,0,59,-16.92,145.77,64.4,12.75
soyo,80,87,-6.13,12.37,73.09,3.38
quilpue,90,87,-33.05,-71.45,50.45,2.71
brookings,90,82,44.31,-96.8,67.1,11.41
pisco,90,82,-13.71,-76.2,62.6,6.93
chernihiv,12,76,51.49,31.29,67.87,7.07
merauke,88,87,-8.49,140.4,80.02,17.13
dossor,0,46,47.52,52.98,64.0,2.71
pirgos,20,83,35.12,25.72,73.4,8.05
kudahuvadhoo,24,100,2.67,72.89,81.01,7.63
taltal,0,88,-25.41,-70.49,51.85,2.37
kieta,12,98,-6.22,155.63,81.82,1.7
micheweni,12,100,-4.97,39.83,78.13,15.46
selcuk,0,73,37.95,27.37,72.57,9.17
rapid valley,90,77,44.06,-103.15,62.6,5.82
sydney,75,82,-33.85,151.22,56.19,14.99
velikodvorskiy,20,51,55.25,40.67,71.56,13.78
laguna,5,19,27.52,-110.01,96.8,9.17
atar,0,25,20.52,-13.05,88.66,8.75
yaan,92,99,7.38,8.57,70.75,8.75
orotukan,36,58,62.26,151.67,62.65,4.94
viedma,48,57,-40.81,-62.99,46.09,5.06
bacolod,12,87,10.68,122.95,82.72,6.06
puquio,0,61,-14.69,-74.12,35.83,3.6
ambon,0,93,47.55,-2.56,62.6,4.7
wangaratta,48,100,-36.36,146.32,36.55,2.37
katunino,40,100,64.39,40.63,55.4,4.47
jerusalem,0,73,31.78,35.23,75.2,3.36
hami,0,54,42.84,93.51,72.55,6.51
kalispell,40,46,48.2,-114.32,69.8,6.93
port-gentil,40,83,-0.72,8.78,75.2,9.17
magadan,90,81,59.56,150.8,44.6,5.17
ancud,92,76,-41.87,-73.83,45.46,4.38
formosa,0,82,-26.19,-58.17,66.2,5.82
cayenne,20,83,4.94,-52.33,80.6,4.7
vao,0,61,59.1,26.19,56.35,13.56
jales,24,64,-20.27,-50.55,68.86,3.6
bima,20,97,-8.45,118.73,76.69,4.16
pacific grove,40,67,36.62,-121.92,69.04,11.41
nouadhibou,0,77,20.93,-17.03,68.0,16.11
mount gambier,88,89,-37.83,140.78,45.55,6.4
carutapera,24,100,-1.2,-46.02,74.35,4.94
asyut,0,39,27.18,31.19,80.6,5.82
west fargo,1,31,46.88,-96.9,78.8,8.05
karema,0,78,-6.82,30.44,53.65,2.04
abu kamal,0,30,34.45,40.92,69.58,7.18
pinheiro machado,0,84,-31.58,-53.38,49.69,8.19
nuuk,90,93,64.17,-51.74,35.6,9.17
moree,68,83,-29.46,149.84,50.68,4.38
gladstone,8,78,-23.84,151.26,59.59,11.99
port macquarie,88,82,-31.43,152.91,57.2,10.29
meulaboh,64,100,4.14,96.13,79.93,5.39
gijon,75,93,43.54,-5.66,64.4,5.82
san carlos de bariloche,20,64,-41.13,-71.31,35.6,18.34
marsa matruh,20,78,31.35,27.25,75.2,8.05
anaconda,90,67,46.13,-112.94,57.2,8.05
san policarpo,92,100,12.18,125.51,72.46,6.51
harper,90,69,30.3,-99.24,81.43,7.63
kirkenaer,0,44,60.46,12.06,50.32,7.52
hillerod,0,67,55.93,12.31,55.4,11.41
gat,0,69,14.69,-16.54,78.8,6.93
san cristobal,75,76,-0.39,-78.55,53.6,11.41
gallup,1,7,35.53,-108.74,85.15,13.87
bestobe,0,80,52.5,73.1,55.99,7.18
poum,64,93,41.28,20.71,57.88,1.92
praia da vitoria,20,78,38.73,-27.07,71.6,8.97
palana,12,77,59.08,159.95,51.13,5.73
pacifica,75,87,37.61,-122.49,72.36,13.87
elizabeth city,40,52,36.3,-76.22,91.26,12.55
maldonado,0,66,-34.91,-54.96,55.4,4.7
lashio,92,98,22.93,97.75,72.19,2.37
tongzi,92,93,28.78,105.09,75.88,4.16
jumla,44,93,29.28,82.18,37.45,2.48
sohag,0,37,26.55,31.7,74.26,3.71
praxedis guerrero,1,13,31.37,-106.02,99.19,8.41
kutum,92,85,14.2,24.66,67.96,9.19
lata,0,78,30.78,78.62,53.11,2.59
taiyuan,0,72,37.86,112.56,68.0,4.47
kruisfontein,0,87,-34.0,24.73,56.98,11.77
mahibadhoo,92,100,3.78,72.97,83.26,10.65
maniitsoq,48,90,65.42,-52.9,36.55,4.5
krasnoarmeysk,0,82,56.12,38.15,64.4,8.95
tanglad,92,100,11.29,125.58,74.62,4.72
valparaiso,20,88,41.47,-87.06,73.09,4.7
bhalki,36,96,18.04,77.21,72.64,5.61
bayshore gardens,75,78,27.43,-82.59,83.19,9.17
logansport,40,69,40.75,-86.36,77.22,2.93
rawson,0,50,-43.3,-65.11,37.99,8.41
ialibu,8,81,-6.28,143.99,63.55,2.04
tres arroyos,12,69,-38.38,-60.28,53.29,12.77
benalla,48,100,-36.55,145.99,39.2,2.93
atasu,0,73,48.68,71.64,55.72,3.38
kjollefjord,56,88,70.95,27.35,48.79,3.49
nchelenge,20,61,-9.35,28.74,58.96,3.71
nicoya,75,88,10.15,-85.45,78.8,2.24
surgut,0,93,61.25,73.4,50.0,2.24
umm kaddadah,80,81,13.6,26.69,73.18,8.63
palmerston,75,38,43.83,-80.85,77.0,4.7
turukhansk,8,61,65.8,87.96,72.73,12.1
pingliang,92,94,35.54,106.68,61.3,3.49
charters towers,0,48,-20.07,146.27,55.36,7.52
sangar,92,65,63.92,127.47,61.3,3.71
kahului,40,66,20.89,-156.47,82.33,17.22
jasper,44,44,33.83,-87.28,88.83,6.93
muli,0,86,22.62,71.45,79.03,9.64
notse,76,81,6.95,1.17,75.25,9.98
verkhoyansk,32,60,67.55,133.39,70.48,3.6
cervo,0,86,-22.19,-46.24,51.4,2.48
hualmay,24,97,-11.1,-77.61,59.05,4.05
san pedro,8,82,-33.68,-59.66,54.55,8.41
namatanai,24,100,-3.66,152.44,83.26,0.92
graaff-reinet,0,77,-32.25,24.53,32.32,2.48
roma,0,53,41.89,12.48,73.38,3.36
burnie,44,100,-41.05,145.91,55.99,17.13
willowmore,0,79,-33.3,23.49,29.26,2.04
luwuk,48,100,-0.95,122.79,77.77,4.05
maralal,88,98,1.1,36.7,58.51,2.59
xai-xai,12,100,-25.04,33.64,71.47,8.41
bonthe,76,100,7.53,-12.5,74.44,3.15
cortez,1,9,37.35,-108.58,84.2,17.22
ostrovnoy,80,96,68.05,39.51,56.35,9.42
les herbiers,0,88,46.87,-1.01,65.35,8.05
birin,0,93,35.01,36.67,62.29,5.61
gravdal,92,71,59.79,5.78,53.6,12.75
rio branco,0,78,-9.98,-67.82,71.6,2.04
semnan,0,67,35.58,53.39,61.3,7.63
lake havasu city,1,4,34.47,-114.34,104.13,3.36
gazojak,0,67,41.19,61.4,63.64,2.71
touros,88,80,-5.2,-35.46,78.76,13.78
komsomolskiy,88,98,67.55,63.78,39.43,15.46
roald,92,76,62.58,6.12,48.96,29.97
svetlogorsk,40,71,53.14,59.15,55.4,6.71
ak-dovurak,20,87,51.17,90.6,59.5,3.04
biloela,8,59,-24.4,150.51,53.92,9.75
grindavik,90,87,63.84,-22.43,43.75,11.41
morki,32,60,56.43,49.0,63.82,8.41
clyde river,75,86,70.47,-68.59,37.4,8.05
half moon bay,75,87,37.46,-122.43,71.85,13.87
bon accord,1,32,53.84,-113.41,80.6,5.82
veraval,44,87,49.65,0.71,59.0,4.7
playa del carmen,75,78,20.63,-87.08,83.5,14.99
beidao,0,94,34.57,105.89,60.49,2.48
trairi,44,100,-3.28,-39.27,80.11,16.46
orneta,0,63,54.12,20.13,60.85,11.21
otradnoye,0,76,59.77,30.8,53.6,11.18
muros,0,77,42.77,-9.06,68.0,4.7
itarema,0,92,-2.92,-39.92,75.25,10.98
mount isa,0,46,-20.73,139.49,53.6,4.7
ambovombe,0,100,-25.18,46.09,62.65,5.61
sheridan,40,50,39.65,-105.03,72.19,16.11
mayaguez,75,78,18.2,-67.14,80.6,9.17
srivardhan,76,100,18.03,73.02,73.99,3.71
wenling,64,86,28.38,121.38,81.1,9.19
razole,68,97,16.48,81.84,83.89,14.0
omboue,80,100,-1.57,9.26,74.98,7.96
west wendover,40,28,40.74,-114.07,73.4,6.93
shubarshi,8,75,48.59,57.19,57.7,2.93
ewa beach,1,62,21.32,-158.01,85.1,10.29
north platte,75,69,41.12,-100.77,75.2,14.99
rania,0,89,30.82,75.88,75.34,2.71
